avg_rate,geek_rate,id,num_votes,title
7.80,6.829,202426,1910,Shop
7.80,6.828,188866,2071,Shop
7.32,6.826,193558,3695,Shop
7.24,6.825,213893,4657,Shop
7.22,6.825,113997,4638,Shop
7.24,6.823,47185,5510,Shop
7.27,6.823,41002,4157,Shop
7.05,6.822,168435,8565,Shop
7.00,6.822,244992,12957,Shop
7.30,6.822,242574,4145,Shop
7.19,6.821,148575,5345,Shop
7.82,6.821,173064,1937,Shop
7.30,6.821,232219,3999,Shop
7.00,6.820,160499,12711,Shop
8.08,6.820,230253,1537,Shop
7.13,6.819,156336,6551,Shop
6.95,6.818,166384,16435,Shop
8.24,6.818,29603,1365,Shop
7.40,6.817,117915,3287,Shop
7.24,6.817,72321,4417,Shop
7.34,6.816,131287,3337,Shop
7.79,6.815,153016,1874,Shop
8.04,6.814,198953,1536,Shop
7.68,6.814,263918,2146,Shop
7.42,6.814,162286,3014,Shop
7.06,6.812,169654,8160,Shop
7.66,6.811,269207,2248,Shop
7.17,6.811,179275,6174,Shop
7.09,6.809,7717,7165,Shop
7.23,6.807,30957,4292,Shop
7.21,6.807,203417,4481,Shop
7.27,6.807,91872,5153,Shop
7.91,6.807,224710,2119,Shop
7.38,6.806,177590,3193,Shop
7.03,6.805,69789,10943,Shop
7.55,6.804,82421,2463,Shop
7.52,6.804,156943,2503,Shop
7.22,6.804,2955,4602,Shop
7.05,6.803,483,11475,Shop
7.28,6.802,35570,3708,Shop
7.89,6.802,224597,2183,Shop
7.24,6.802,103886,5043,Shop
7.58,6.800,262215,2316,Shop
7.11,6.800,699,10115,Shop
7.50,6.799,1035,2998,Shop
7.87,6.799,165401,1711,Shop
7.72,6.796,251247,1940,Shop
7.79,6.795,193949,2208,Shop
7.99,6.795,132028,1617,Shop
8.05,6.794,41066,1472,Shop
7.50,6.793,139898,2543,Shop
7.17,6.793,244228,4941,Shop
7.60,6.793,82420,2251,Shop
6.99,6.792,71721,11563,Shop
7.63,6.792,156689,2381,Shop
7.30,6.791,528,3719,Shop
7.05,6.791,21882,7329,Shop
7.13,6.790,200147,5829,Shop
7.22,6.790,94,4116,Shop
6.94,6.789,20100,12412,Shop
7.02,6.789,12002,7776,Shop
8.08,6.788,28181,1350,Shop
7.55,6.786,12891,2413,Shop
7.07,6.785,40628,6478,Shop
7.25,6.785,220520,3913,Shop
7.14,6.783,12962,4862,Shop
7.08,6.783,163602,7251,Shop
7.10,6.782,137269,5488,Shop
7.17,6.779,156566,4645,Shop
7.33,6.778,151004,3486,Shop
7.39,6.777,65901,2805,Shop
6.90,6.775,2453,20920,Shop
7.47,6.774,2181,2786,Shop
6.96,6.771,161417,10779,Shop
6.90,6.771,432,17079,Shop
7.08,6.770,171273,6027,Shop
7.24,6.770,119788,4038,Shop
7.04,6.770,2398,7459,Shop
7.41,6.768,258036,2710,Shop
7.20,6.768,12902,4087,Shop
7.17,6.766,145659,4363,Shop
7.63,6.765,27976,2183,Shop
7.02,6.765,183840,7574,Shop
7.24,6.765,201825,3863,Shop
7.44,6.764,191051,2958,Shop
7.26,6.763,26566,3343,Shop
7.09,6.762,1345,5792,Shop
7.14,6.760,9440,4767,Shop
7.27,6.760,148319,3707,Shop
7.00,6.760,220,7359,Shop
6.93,6.759,155362,11233,Shop
7.18,6.758,1041,4122,Shop
8.35,6.756,256916,1078,Shop
7.06,6.752,194879,6451,Shop
7.12,6.752,8125,4694,Shop
7.30,6.751,491,3267,Shop
6.96,6.749,53953,9795,Shop
7.21,6.748,129948,3671,Shop
7.12,6.748,202408,4848,Shop
7.29,6.747,154458,3170,Shop
7.31,6.747,108784,3240,Shop
7.08,6.747,13642,5249,Shop
7.20,6.745,98351,3796,Shop
6.91,6.744,45,11587,Shop
7.01,6.743,51,7496,Shop
7.02,6.742,175117,6864,Shop
7.18,6.742,106217,3931,Shop
6.96,6.741,29368,13213,Shop
7.25,6.741,158275,3537,Shop
7.13,6.741,201921,5125,Shop
7.68,6.741,69779,1929,Shop
7.34,6.740,108906,2910,Shop
7.15,6.738,26990,4165,Shop
7.29,6.735,197443,3088,Shop
7.16,6.734,66356,5485,Shop
7.19,6.734,52461,3772,Shop
7.26,6.733,181687,3261,Shop
7.00,6.733,169124,6772,Shop
7.77,6.731,256730,1703,Shop
7.20,6.730,240,3919,Shop
6.89,6.730,37380,11107,Shop
7.43,6.729,172047,2957,Shop
7.08,6.727,191977,5013,Shop
7.31,6.727,98229,2876,Shop
7.63,6.724,170624,1889,Shop
7.76,6.723,260605,1683,Shop
7.18,6.722,16747,3643,Shop
7.50,6.721,231581,2289,Shop
7.02,6.720,122298,6434,Shop
7.44,6.720,226320,2538,Shop
6.81,6.717,65244,37536,Shop
7.01,6.716,8051,6210,Shop
7.06,6.715,904,4890,Shop
7.46,6.715,177678,2241,Shop
7.30,6.714,95064,3043,Shop
6.94,6.713,160851,8447,Shop
7.19,6.713,72225,3538,Shop
7.36,6.712,223040,2586,Shop
7.34,6.712,233247,3135,Shop
7.51,6.711,174570,2194,Shop
7.77,6.711,89409,1649,Shop
7.50,6.711,158435,2199,Shop
6.86,6.709,147151,13269,Shop
7.56,6.709,939,2023,Shop
7.12,6.707,171669,4033,Shop
7.15,6.707,207830,4945,Shop
6.82,6.706,15512,15433,Shop
6.96,6.705,91514,7037,Shop
7.05,6.705,554,4974,Shop
7.09,6.704,19600,4503,Shop
7.35,6.704,85897,2582,Shop
7.25,6.700,30645,3107,Shop
7.94,6.700,207243,1562,Shop
7.66,6.699,163839,2052,Shop
6.86,6.698,41,11264,Shop
6.85,6.697,27588,13274,Shop
6.98,6.697,38054,5748,Shop
7.37,6.695,179172,3071,Shop
7.32,6.695,168917,2896,Shop
7.20,6.694,45986,3294,Shop
7.32,6.693,150145,2752,Shop
7.50,6.692,195560,2235,Shop
7.18,6.690,131646,3424,Shop
7.08,6.690,203427,4354,Shop
7.35,6.690,160018,2675,Shop
7.59,6.689,161866,2204,Shop
7.05,6.688,66505,4560,Shop
7.02,6.686,2093,5969,Shop
7.11,6.685,200077,4197,Shop
7.99,6.685,165838,1443,Shop
6.97,6.684,59946,8002,Shop
7.13,6.684,224,4259,Shop
7.46,6.684,1301,2261,Shop
7.37,6.683,180680,2375,Shop
7.17,6.682,135779,3399,Shop
6.93,6.680,72287,6908,Shop
7.11,6.678,104363,4010,Shop
7.22,6.677,22825,3665,Shop
7.08,6.674,104710,4425,Shop
7.57,6.674,204516,1930,Shop
7.58,6.674,195137,1828,Shop
7.00,6.672,15817,5231,Shop
7.72,6.671,1822,1596,Shop
7.10,6.667,60,3866,Shop
7.38,6.667,156776,2632,Shop
7.53,6.667,217780,1811,Shop
7.44,6.667,154086,2019,Shop
7.31,6.666,67492,2695,Shop
6.89,6.665,131260,7754,Shop
7.08,6.662,256382,5158,Shop
7.08,6.662,150999,3818,Shop
7.20,6.662,141517,2976,Shop
7.68,6.660,234671,1590,Shop
7.68,6.660,190082,1590,Shop
6.95,6.660,204027,5975,Shop
7.23,6.659,178336,2859,Shop
7.26,6.659,55427,2786,Shop
7.03,6.658,157403,4524,Shop
8.02,6.656,222514,1610,Shop
7.40,6.655,8045,2102,Shop
6.91,6.655,1465,7375,Shop
7.95,6.654,182340,1299,Shop
7.14,6.653,216459,3600,Shop
7.30,6.653,218333,2524,Shop
7.45,6.652,223953,2022,Shop
7.04,6.652,125678,5650,Shop
7.12,6.651,175324,3708,Shop
7.16,6.651,551,3362,Shop
6.79,6.651,25669,14369,Shop
6.95,6.650,56692,5363,Shop
7.51,6.648,241724,2248,Shop
6.98,6.647,136991,4768,Shop
7.70,6.646,255692,1480,Shop
7.03,6.646,25568,3901,Shop
7.28,6.645,75449,2406,Shop
7.23,6.645,185589,2707,Shop
7.00,6.644,66056,5162,Shop
7.22,6.644,200954,2713,Shop
6.97,6.644,180593,5226,Shop
7.01,6.643,171233,4878,Shop
7.32,6.642,197070,3408,Shop
7.19,6.641,135382,3144,Shop
7.15,6.641,193214,3303,Shop
7.39,6.640,207691,2080,Shop
6.98,6.639,1382,4796,Shop
7.04,6.639,230080,4137,Shop
7.54,6.639,249381,1701,Shop
7.00,6.638,18100,4237,Shop
7.91,6.636,127518,1267,Shop
6.88,6.636,97903,6845,Shop
7.73,6.633,197405,1706,Shop
6.78,6.632,122522,21622,Shop
7.09,6.630,191231,3412,Shop
7.50,6.629,137649,1835,Shop
6.98,6.628,157809,4350,Shop
7.20,6.628,176165,2913,Shop
7.51,6.627,269144,1796,Shop
6.72,6.627,8203,18191,Shop
7.36,6.627,94246,2102,Shop
