id,details.name,attributes.boardgamecategory,attributes.boardgamemechanic,yearpublished,minplayers,maxplayers,playingtime,users_rated,average_rating,bayes_average_rating,total_weights,average_weight
10533,Central Command: Superpower Confrontation in the Straits of Hormuz,"Modern Warfare,Wargame",Hex-and-Counter,1984,2,2,240,52,6.00385,5.51492,7,3.1429
10534,Napoleon's Art of War: Eylau and Dresden,"Napoleonic,Wargame",Hex-and-Counter,1979,2,2,300,165,6.11818,5.55715,29,1.8966
10537,Kit & Caboodle,Dice,Dice Rolling,1997,1,3,30,34,5.39118,5.49499,1,1
10544,Master Quiz,Trivia,Betting/Wagering,0,2,6,90,49,5.26782,5.49786,5,1.6
10547,Betrayal at House on the Hill,"Adventure,Exploration,Horror,Miniatures","Co-operative Play,Dice Rolling,Modular Board,Partnerships,Player Elimination,Role Playing,Storytelling,Variable Player Powers",2004,3,6,60,33003,7.07165,6.87422,1716,2.3753
10550,Big Boggle,"Real-time,Word Game",Pattern Recognition,1979,2,8,10,1260,6.84455,6.12231,103,1.534
10557,The Black Prince,"Medieval,Wargame","Dice Rolling,Hex-and-Counter",1992,1,2,180,53,6.32736,5.53123,6,2.6667
10559,Why Did the Chicken...?,"Humor,Party Game",Paper-and-Pencil,2004,4,8,60,392,6.1222,5.64266,37,1.2162
10561,Warsaw Pact,"Modern Warfare,Wargame",Hex-and-Counter,1976,2,2,180,44,6.86591,5.53212,6,3
10564,Mississippi Fortress,"American Civil War,Wargame",Area Movement,1990,2,2,180,70,6.64857,5.55252,11,2.8182
10565,Fits,Party Game,"Pattern Building,Tile Placement",1999,2,4,15,92,5.42348,5.49128,2,1
10570,To The Far Shore,"Wargame,World War II",Hex-and-Counter,1994,2,2,240,34,5.36765,5.49064,8,2.875
10573,Poison Pot,"Abstract Strategy,Territory Building","Pattern Building,Point to Point Movement",2003,2,3,10,57,6.41754,5.53843,5,1.2
10578,Super 3,"Abstract Strategy,Dice","Dice Rolling,Pattern Building",1978,2,2,20,60,5.38167,5.49405,2,1
10579,The War for the Union,"American Civil War,Wargame","Dice Rolling,Hex-and-Counter",1992,2,2,360,107,7.05093,5.59474,13,3.8462
10581,Summer Storm: The Battle of Gettysburg,"American Civil War,Wargame",Hex-and-Counter,1998,2,2,480,74,7.2027,5.57961,15,4.2667
10589,Bittereinder,"Post-Napoleonic,Wargame",Hex-and-Counter,2000,2,2,480,67,6.24254,5.53488,13,2.6923
10593,Hepta,"Abstract Strategy,Puzzle",Tile Placement,1974,1,2,20,42,5.31667,5.49465,2,1.5
10605,Stratego Tournament,"Abstract Strategy,Bluffing,Deduction,Medieval,Memory,Wargame",Secret Unit Deployment,2001,2,2,15,45,6.33111,5.52405,6,2.3333
10613,Race to the Roof,"Animals,Children's Game,Dice,Racing","Dice Rolling,Roll / Spin and Move",1974,2,4,20,105,4.68571,5.44231,8,1
10623,Gringo!,"American West,Post-Napoleonic,Wargame","Chit-Pull System,Hex-and-Counter",2004,1,6,180,157,7.17771,5.66579,34,3.3824
10626,Pacific War Classics Vol 1: Tarawa & Saipan,"Wargame,World War II","Hex-and-Counter,Variable Phase Order",1992,2,2,180,33,4.57576,5.4809,4,3
10630,Memoir '44,"Miniatures,Wargame,World War II","Area Control / Area Influence,Campaign / Battle Card Driven,Dice Rolling,Grid Movement,Hand Management,Modular Board,Simulation",2004,2,8,60,23768,7.55654,7.39303,2206,2.2752
10631,Age of Heroes,"Ancient,Card Game,Civilization,Educational,Print & Play","Hand Management,Secret Unit Deployment,Trading",2003,2,6,45,35,5.83617,5.50694,6,2.3333
10634,Napoleon and the Archduke Charles: The Battle of Abensberg,"Napoleonic,Wargame","Dice Rolling,Hex-and-Counter",1987,2,2,90,79,5.98481,5.52484,9,2.6667
10640,Doom: The Boardgame,"Dice,Exploration,Fighting,Horror,Miniatures,Science Fiction,Video Game Theme","Dice Rolling,Modular Board,Partnerships,Variable Player Powers",2004,2,4,180,4935,6.86499,6.49107,609,2.908
10641,"Barbarossa: Army Group South, 1941","Wargame,World War II","Dice Rolling,Hex-and-Counter",1996,1,4,240,165,7.91987,5.74931,32,4.1562
10642,"Barbarossa: Army Group North, 1941","Wargame,World War II","Dice Rolling,Hex-and-Counter",2000,1,4,300,148,7.99398,5.7322,26,4.1538
10653,Pirates of the Spanish Main,"Collectible Components,Miniatures,Nautical,Pirates,Wargame","Dice Rolling,Pick-up and Deliver,Point to Point Movement",2004,2,10,30,2704,6.04402,5.76659,366,1.776
10659,Hex Hex,"Card Game,Fantasy,Humor",Hand Management,2003,3,6,30,809,5.85857,5.61036,81,1.2963
10660,Micropul,"Abstract Strategy,Print & Play","Hand Management,Modular Board,Pattern Building,Pattern Recognition,Tile Placement",2004,1,2,30,768,6.7731,5.94185,109,1.9083
10662,Victoria Cross,"Post-Napoleonic,Wargame","Area Movement,Dice Rolling,Secret Unit Deployment,Simulation",2004,2,2,120,200,7.0043,5.69221,30,2.3333
10668,Panzer Grenadier: Desert Rats,"Wargame,World War II",Hex-and-Counter,2004,2,2,150,132,6.84939,5.61436,22,2.7727
10672,"Easy Come, Easy Go",Dice,"Dice Rolling,Press Your Luck,Stock Holding",2004,2,4,30,352,5.9154,5.58154,50,1.02
10673,Monopoly: America Special Edition,"Economic,Negotiation","Auction/Bidding,Roll / Spin and Move,Set Collection,Trading",2002,2,6,120,63,5.32746,5.47543,1,2
10676,Knight Hawks,"Science Fiction,Space Exploration,Wargame","Co-operative Play,Dice Rolling,Pick-up and Deliver,Point to Point Movement,Role Playing,Trading,Variable Player Powers",1983,2,2,60,141,6.3539,5.56462,20,2.7
10679,A Fearful Slaughter: The Battle of Shiloh,"American Civil War,Wargame","Dice Rolling,Hex-and-Counter,Simulation",2004,1,2,300,106,7.66509,5.64678,24,3.9583
10681,Apples to Apples Junior,"Card Game,Children's Game,Humor,Party Game,Word Game","Hand Management,Simultaneous Action Selection",2002,4,10,30,986,5.8453,5.62148,59,1.1525
10682,Atlas & Zeus,Mythology,"Action / Movement Programming,Area Control / Area Influence,Hand Management,Simultaneous Action Selection",2004,2,2,30,301,6.3608,5.65492,43,2.0233
